full_date,date_key,year,quarter,quarter_name,month,month_name,month_short,year_month,day_of_month,day_of_week,day_name,day_short,week_of_year,is_weekend,season,holiday_name,is_holiday,is_trading_day
2015-05-08,20150508,2015,2,Q2,5,May,May,2015-05,8,5,Friday,Fri,19,False,Spring,Truman Day,True,True
2015-05-09,20150509,2015,2,Q2,5,May,May,2015-05,9,6,Saturday,Sat,19,True,Spring,,False,True
2015-05-10,20150510,2015,2,Q2,5,May,May,2015-05,10,7,Sunday,Sun,19,True,Spring,,False,True
2015-05-11,20150511,2015,2,Q2,5,May,May,2015-05,11,1,Monday,Mon,20,False,Spring,,False,True
2015-05-12,20150512,2015,2,Q2,5,May,May,2015-05,12,2,Tuesday,Tue,20,False,Spring,,False,True
2015-05-13,20150513,2015,2,Q2,5,May,May,2015-05,13,3,Wednesday,Wed,20,False,Spring,,False,True
2015-05-14,20150514,2015,2,Q2,5,May,May,2015-05,14,4,Thursday,Thu,20,False,Spring,,False,True
2015-05-15,20150515,2015,2,Q2,5,May,May,2015-05,15,5,Friday,Fri,20,False,Spring,,False,True
2015-05-16,20150516,2015,2,Q2,5,May,May,2015-05,16,6,Saturday,Sat,20,True,Spring,,False,True
2015-05-17,20150517,2015,2,Q2,5,May,May,2015-05,17,7,Sunday,Sun,20,True,Spring,,False,True
2015-05-18,20150518,2015,2,Q2,5,May,May,2015-05,18,1,Monday,Mon,21,False,Spring,,False,True
2015-05-19,20150519,2015,2,Q2,5,May,May,2015-05,19,2,Tuesday,Tue,21,False,Spring,,False,True
2015-05-20,20150520,2015,2,Q2,5,May,May,2015-05,20,3,Wednesday,Wed,21,False,Spring,,False,True
2015-05-21,20150521,2015,2,Q2,5,May,May,2015-05,21,4,Thursday,Thu,21,False,Spring,,False,True
2015-05-22,20150522,2015,2,Q2,5,May,May,2015-05,22,5,Friday,Fri,21,False,Spring,,False,True
2015-05-23,20150523,2015,2,Q2,5,May,May,2015-05,23,6,Saturday,Sat,21,True,Spring,,False,True
2015-05-24,20150524,2015,2,Q2,5,May,May,2015-05,24,7,Sunday,Sun,21,True,Spring,,False,True
2015-05-25,20150525,2015,2,Q2,5,May,May,2015-05,25,1,Monday,Mon,22,False,Spring,Memorial Day,True,True
2015-05-26,20150526,2015,2,Q2,5,May,May,2015-05,26,2,Tuesday,Tue,22,False,Spring,,False,True
2015-05-27,20150527,2015,2,Q2,5,May,May,2015-05,27,3,Wednesday,Wed,22,False,Spring,,False,True
2015-05-28,20150528,2015,2,Q2,5,May,May,2015-05,28,4,Thursday,Thu,22,False,Spring,,False,True
2015-05-29,20150529,2015,2,Q2,5,May,May,2015-05,29,5,Friday,Fri,22,False,Spring,,False,True
2015-05-30,20150530,2015,2,Q2,5,May,May,2015-05,30,6,Saturday,Sat,22,True,Spring,,False,True
2015-05-31,20150531,2015,2,Q2,5,May,May,2015-05,31,7,Sunday,Sun,22,True,Spring,,False,True
2015-06-01,20150601,2015,2,Q2,6,June,Jun,2015-06,1,1,Monday,Mon,23,False,Summer,,False,True
2015-06-02,20150602,2015,2,Q2,6,June,Jun,2015-06,2,2,Tuesday,Tue,23,False,Summer,,False,True
2015-06-03,20150603,2015,2,Q2,6,June,Jun,2015-06,3,3,Wednesday,Wed,23,False,Summer,,False,True
2015-06-04,20150604,2015,2,Q2,6,June,Jun,2015-06,4,4,Thursday,Thu,23,False,Summer,,False,True
2015-06-05,20150605,2015,2,Q2,6,June,Jun,2015-06,5,5,Friday,Fri,23,False,Summer,,False,True
